District,Adapt,Mitigate,Replace,General_SI,1Cult_land1,1Crop_Int,1Irrig_Inte,1IWU,1GW_Irr_Sh,1GW_Dev,1no_of_SWB,1SW_body,1ElectPtg,1DieselPtg,1el_Tariff,1S_M_Hold,1ALLGrps,1ALLGrpsNo,1DISCOMNam,1DISCOMRat,1Feederseg
Rampur,Very Low,Very High,Very High,Mitigation + GW Sustainability,79.85,189.8,96.2,69.07,89.45,74.65,2575.0,0.25,22.0,76.0,,89.92,0.89,1.96,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Ranchi,Very High,High,Low,Adaptation + Mitigation,42.48,205.1,13.0,39.89,65.32,46.94,5808.0,105.77,7.0,91.0,95.0,80.02,1.44,1.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Ranga Reddy,Moderate,High,Very High,Mitigation + GW Sustainability,45.32,109.3,29.0,67.58,90.45,52.42,3022.0,1.27,100.0,,,85.98,1.16,1.4,Southern Power Distribution Company of Telangana Limited (TSSPDCL),C,No
Ratlam,Very Low,Moderate,Very High,GW Sustainability,70.72,172.2,41.5,72.8,71.54,135.14,1546.0,0.52,100.0,,135.0,75.09,1.57,2.45,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Ratnagiri,High,Very Low,Low,Adaptation,37.16,111.6,3.1,60.65,74.76,17.3,795.0,0.07,98.0,2.0,155.0,82.68,1.17,3.04,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Rayagada,Very High,Low,Very Low,Adaptation,26.3,104.7,33.0,41.44,9.29,33.32,612.0,0.03,43.0,34.0,150.0,89.51,1.15,1.7,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Reasi,High,Very Low,Very Low,Adaptation,15.88,161.2,5.3,37.14,6.24,21.91,1471.0,,,,235.0,93.94,0.76,2.75,,,No data
Rewa,Low,High,Very High,Mitigation + GW Sustainability,62.07,144.2,38.8,74.28,63.45,54.65,1924.0,0.47,60.0,39.0,135.0,85.09,1.12,3.21,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Rewari,Very Low,High,Very High,Mitigation + GW Sustainability,83.37,157.9,97.1,67.08,90.77,132.81,771.0,,99.0,,10.0,73.38,1.7,1.0,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Ri Bhoi,High,Very Low,Very Low,Adaptation,8.69,114.3,72.1,32.39,1.08,5.53,2677.0,1.73,,,300.0,79.05,1.14,1.3,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
Rohtak,Moderate,Low,High,GW Sustainability,91.76,176.2,92.8,82.9,40.4,55.18,651.0,0.32,90.0,10.0,10.0,71.92,1.93,1.0,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Rohtas,Moderate,High,Low,Mitigation,63.77,142.4,96.7,61.56,23.01,40.24,1209.0,0.22,15.0,62.0,67.5,95.19,0.5,1.24,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Rudraprayag,Moderate,Moderate,Very Low,No Data,7.92,162.2,,39.71,0.5,,56.0,,,,285.0,92.91,0.9,5.09,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Rupnagar,Very Low,Very High,High,Mitigation + GW Sustainability,58.08,182.2,83.2,59.97,93.7,98.56,397.0,0.12,60.0,40.0,,,1.91,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Sabar Kantha,Very Low,Very High,High,Mitigation + GW Sustainability,64.01,135.5,73.4,80.42,98.12,71.31,,,40.0,60.0,60.0,76.98,1.51,1.18,Uttar Gujarat Vij Company Limited (UGVCL),A+,Yes
Sagar,Low,High,High,Mitigation + GW Sustainability,56.17,173.8,41.0,71.1,65.45,59.29,1157.0,0.21,97.0,3.0,135.0,76.08,1.63,2.21,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Saharanpur,Very Low,Very High,High,Mitigation + GW Sustainability,72.79,163.2,95.2,69.41,82.93,100.62,1900.0,,34.0,66.0,,83.24,1.05,2.2,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Saharsa,Low,Very High,Moderate,Mitigation,57.22,190.3,64.0,51.8,93.16,34.93,811.0,1.82,7.0,92.0,67.5,95.46,0.58,1.0,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Sahibganj,Moderate,Low,Very Low,No Data,22.85,139.6,7.3,42.13,56.5,16.0,5583.0,0.73,1.0,98.0,95.0,87.02,0.96,2.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Sahibzada Ajit Singh Nagar,Very Low,Very Low,Very High,GW Sustainability,71.03,128.3,100.0,60.39,96.57,130.0,,,99.0,1.0,,,2.98,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Saiha,Very High,Very Low,Very Low,Adaptation,8.18,100.0,4.6,43.95,,5.38,20.0,,,,380.0,86.48,1.07,1.0,,,No data
Salem,Very Low,High,High,Mitigation + GW Sustainability,40.96,137.9,43.1,62.75,80.85,135.64,896.0,0.28,71.0,21.0,,92.85,0.78,1.77,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Samastipur,Very Low,Very High,Moderate,Mitigation,64.19,174.6,77.0,53.29,65.17,68.85,522.0,0.46,44.0,55.0,67.5,97.83,0.38,1.41,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Samba,Moderate,Very Low,Low,No Data,39.52,196.9,33.4,38.6,23.0,16.59,543.0,0.02,100.0,,235.0,88.32,0.9,3.69,,,No data
Sambalpur,Very High,Very Low,Low,Adaptation,31.43,111.3,19.3,36.22,10.31,29.83,1893.0,9.81,70.0,29.0,150.0,84.79,1.3,1.77,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Sambhal,Low,High,High,Mitigation + GW Sustainability,82.35,193.7,73.9,71.76,75.84,87.28,2808.0,0.9,30.0,70.0,,93.66,0.71,1.51,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Sangli,Very High,Moderate,High,Adaptation + GW Sustainability,60.36,116.5,29.3,74.05,73.52,54.19,2280.0,1.98,100.0,,155.0,82.66,1.15,2.05,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Sangrur,Very Low,High,Very High,Mitigation + GW Sustainability,87.66,199.1,100.0,77.39,83.8,313.41,1130.0,0.24,81.0,19.0,,,3.53,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Sant Kabir Nagar,Low,Very High,High,Mitigation + GW Sustainability,69.25,185.2,50.3,71.44,80.37,63.24,2857.0,0.99,9.0,91.0,,95.92,0.61,1.61,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Sant Ravi Das Nagar,Very Low,Very High,Moderate,Mitigation,62.29,150.5,85.4,74.19,66.24,79.79,,,2.0,98.0,,98.64,0.48,1.49,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Saraikela-kharsawan,Very High,Low,Very Low,Adaptation,25.43,102.2,0.8,35.41,8.56,22.9,3851.0,2.37,15.0,77.0,95.0,84.86,1.11,1.45,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Saran,Low,Very High,Moderate,Mitigation,55.4,125.7,65.9,67.84,77.62,52.46,1259.0,0.88,6.0,64.0,67.5,98.74,0.2,1.26,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Satara,Very High,Moderate,High,Adaptation + GW Sustainability,50.49,137.7,35.4,71.32,64.58,62.11,3756.0,1.58,100.0,,155.0,91.01,0.84,1.56,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Satna,Moderate,Moderate,Very High,GW Sustainability,50.58,174.8,39.4,72.6,73.14,65.59,2001.0,0.65,99.0,,135.0,84.36,1.27,3.3,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Sawai Madhopur,Very Low,Moderate,Very High,GW Sustainability,55.62,155.7,57.8,65.02,95.02,161.27,940.0,0.91,69.0,31.0,167.0,73.75,1.74,3.6,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Sehore,Very Low,High,High,Mitigation + GW Sustainability,61.73,195.3,53.5,73.07,66.67,61.78,2516.0,0.74,98.0,2.0,135.0,67.13,2.14,2.15,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Senapati,Very High,Low,Very Low,Adaptation,100.0,141.5,,35.79,0.06,,108.0,,,,515.0,83.54,1.07,1.0,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Seoni,Moderate,High,Low,Mitigation,45.38,153.7,35.3,73.6,42.1,41.38,3622.0,0.63,99.0,1.0,135.0,74.67,1.67,2.25,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Serchhip,Very High,Very Low,Very Low,Adaptation,17.34,100.0,12.8,40.49,,5.76,311.0,0.03,,,380.0,78.8,1.4,1.56,,,No data
Shahdol,High,Moderate,Low,Adaptation,36.57,121.1,15.0,68.05,46.19,13.36,3853.0,0.44,95.0,5.0,135.0,82.28,1.35,4.68,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Shahid Bhagat Singh Nagar,Very Low,Low,Very High,GW Sustainability,73.84,184.7,96.3,65.88,96.41,123.24,,,99.0,1.0,,,2.88,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Shahjahanpur,Moderate,High,Very High,Mitigation + GW Sustainability,79.4,166.5,93.3,74.24,62.62,64.06,5176.0,0.61,87.0,13.0,,91.5,0.84,1.6,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Shajapur,Low,High,Very High,Mitigation + GW Sustainability,84.26,182.0,42.2,70.67,72.16,106.9,462.0,0.88,98.0,1.0,135.0,73.44,1.79,3.81,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Shamli,Very Low,Very High,Very High,Mitigation + GW Sustainability,83.1,160.1,100.0,73.73,84.2,103.48,432.0,0.06,7.0,93.0,,88.96,0.9,2.12,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Sheikhpura,Moderate,Very High,High,Mitigation + GW Sustainability,72.86,127.0,90.1,61.32,82.08,54.53,939.0,76.37,3.0,97.0,67.5,97.99,0.18,4.2,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Sheohar,Very Low,Very High,Moderate,Mitigation,53.89,191.1,58.4,60.42,98.84,61.49,371.0,0.39,12.0,87.0,67.5,97.81,0.32,2.66,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Sheopur,Very Low,High,High,Mitigation + GW Sustainability,25.81,156.6,61.6,73.24,50.09,38.47,408.0,0.06,99.0,1.0,135.0,72.72,1.66,2.64,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Shimla,Moderate,Very Low,Low,No Data,13.79,119.9,,38.78,5.7,,15060.0,0.01,98.0,,30.0,88.01,0.96,3.31,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Shimoga,High,Moderate,High,Adaptation + GW Sustainability,29.34,111.1,62.0,51.74,28.31,40.62,3937.0,3.49,100.0,,,87.04,1.11,1.71,Mangalore Electricity Supply Company Limited (MESCOM),A,Yes
Shivpuri,Very Low,Moderate,High,GW Sustainability,47.57,167.7,39.6,73.0,69.23,67.67,1199.0,0.78,97.0,3.0,135.0,74.72,1.62,3.37,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Shravasti,Moderate,Moderate,Moderate,No Data,64.46,156.3,44.3,69.73,73.85,57.14,1697.0,0.31,79.0,19.0,,94.03,0.71,1.87,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Shupiyan,High,Low,Low,Adaptation,53.04,111.0,58.5,45.62,0.8,14.9,,,27.0,73.0,235.0,97.4,0.55,7.21,,,No data
Siddharth Nagar,Moderate,Very High,Moderate,Mitigation,75.0,167.7,54.3,75.33,63.54,63.31,6905.0,0.77,1.0,98.0,,96.23,0.58,1.38,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Sidhi,Low,Very High,High,Mitigation + GW Sustainability,35.01,140.3,34.3,70.53,65.19,36.11,337.0,0.11,70.0,29.0,135.0,82.05,1.2,2.93,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Sikar,Low,High,Very High,Mitigation + GW Sustainability,65.6,140.1,37.2,69.27,99.18,192.11,53.0,13.97,53.0,46.0,167.0,67.46,1.88,2.17,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Simdega,Low,Very Low,Low,No Data,21.44,100.9,4.9,38.27,73.34,13.15,2362.0,0.42,38.0,54.0,95.0,76.08,1.65,5.3,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Sindhudurg,Very High,Low,Low,Adaptation,32.26,102.5,12.0,62.07,43.07,43.33,574.0,0.15,99.0,1.0,155.0,87.29,1.1,3.01,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Singrauli,Moderate,Moderate,Moderate,No Data,28.64,136.5,18.4,67.86,67.12,39.08,2115.0,0.39,99.0,1.0,135.0,82.39,1.26,4.76,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Sipahijala,High,Low,Low,Adaptation,44.39,221.2,22.5,37.59,31.65,11.73,,,100.0,,405.0,95.92,0.61,1.48,Tripura State Electricity Corporation Limited (TSECL),C,No
Sirmaur,Low,Moderate,Low,No Data,17.11,190.3,38.5,52.77,20.99,21.84,10220.0,1.29,,,30.0,71.08,1.82,4.03,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Sirohi,Low,High,Very High,Mitigation + GW Sustainability,33.28,132.2,57.9,74.64,97.92,116.95,71.0,1.73,45.0,55.0,167.0,64.56,2.44,3.12,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Sirsa,Very Low,Low,Very High,GW Sustainability,92.23,190.1,97.6,82.96,19.17,148.48,1260.0,0.01,80.0,20.0,10.0,60.15,2.51,1.11,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Sitamarhi,Low,Very High,Very High,Mitigation + GW Sustainability,58.1,182.2,84.5,63.12,90.44,50.54,2184.0,27.76,1.0,97.0,67.5,98.85,0.6,1.0,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Sitapur,Low,Very High,High,Mitigation + GW Sustainability,76.93,152.5,88.1,73.43,86.02,60.04,12530.0,0.38,3.0,97.0,,94.19,0.68,1.95,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Sivaganga,Moderate,Low,Moderate,No Data,26.66,100.0,65.4,57.46,17.62,28.63,10032.0,4.1,94.0,3.0,,94.64,0.66,1.83,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Sivasagar,Very High,Very Low,Very Low,Adaptation,54.96,113.8,20.9,26.32,9.25,4.98,4353.0,0.21,4.0,96.0,465.0,81.48,1.07,3.11,Assam Power Distribution Company Limited (APDCL),B-,No
Siwan,Moderate,High,Moderate,Mitigation,74.37,136.2,49.9,68.06,90.04,54.26,2978.0,0.46,22.0,77.0,67.5,98.47,0.26,2.26,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Solan,Very Low,Very Low,Moderate,No Data,17.25,157.5,24.7,46.07,58.0,57.09,9677.0,0.55,100.0,,30.0,76.17,1.5,7.44,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Solapur,Moderate,Low,High,GW Sustainability,67.65,111.2,26.5,78.24,76.57,77.54,3338.0,0.84,100.0,,155.0,71.01,1.59,1.25,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Sonbhadra,Moderate,Moderate,Low,No Data,27.13,151.2,36.7,71.99,28.83,50.9,1179.0,0.16,9.0,91.0,,84.15,1.23,2.7,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Sonipat,Very Low,Moderate,Very High,GW Sustainability,71.61,195.2,100.0,79.68,50.21,100.49,982.0,,84.0,16.0,10.0,68.71,1.9,1.0,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Sonitpur,Moderate,Low,Very Low,No Data,22.95,164.8,8.2,33.4,56.52,10.28,5999.0,0.31,,100.0,465.0,86.37,1.01,2.12,Assam Power Distribution Company Limited (APDCL),B-,No
South 24 Parganas,Very High,Moderate,Low,Adaptation,37.77,214.3,,42.31,21.25,,355780.0,10.66,52.0,41.0,460.0,98.74,0.6,2.77,Assam Power Distribution Company Limited (APDCL),B-,No
South Andaman,Very High,Very Low,Low,Adaptation,2.45,103.6,,80.3,0.57,3.48,639.0,0.03,95.0,4.0,175.0,74.81,1.23,2.0,,,No data
South Garo Hills,Moderate,Low,Very Low,No Data,10.11,128.1,39.7,29.42,54.66,1.17,747.0,0.7,,,300.0,73.77,1.58,1.25,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
South Goa,Very High,Low,Moderate,Adaptation,28.67,117.5,25.5,64.65,22.87,18.64,897.0,6.88,100.0,,150.0,90.19,0.98,1.43,,,No data
South Sikkim,No Data,No Data,No Data,No Data,,122.4,7.4,13.34,0.01,7.2,18.0,0.02,,,,80.16,1.28,1.02,,,No data
South Tripura,High,Very Low,Low,Adaptation,27.23,198.4,25.8,41.68,17.13,6.21,,,100.0,,405.0,97.56,0.38,1.51,Tripura State Electricity Corporation Limited (TSECL),C,No
South West Garo Hills,Moderate,Low,Very Low,No Data,33.24,123.2,50.6,31.7,45.51,22.42,625.0,0.48,,,300.0,72.76,1.73,1.51,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
South West Khasi Hills,High,Very Low,Very Low,Adaptation,5.55,128.0,44.7,28.23,7.44,1.02,678.0,0.69,,,300.0,88.25,1.05,1.0,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
Srikakulam,Very High,Moderate,Moderate,Adaptation,48.21,140.2,52.8,55.37,19.75,33.33,9292.0,7.29,55.0,35.0,,96.76,0.52,1.82,Eastern Power Distribution Company of Andhra Pradesh Limited (APEPDCL),A,Yes
Srinagar,Moderate,Low,Low,No Data,60.46,138.5,70.6,48.4,0.82,78.21,4.0,,,,235.0,98.76,0.31,2.49,,,No data
Subarnapur,Very High,Low,Low,Adaptation,53.68,134.9,59.6,36.68,11.0,48.78,586.0,0.46,83.0,17.0,150.0,89.03,1.0,2.77,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Sukma,Low,Very Low,Very Low,No Data,16.61,100.8,1.0,45.22,36.45,4.12,20.0,,92.0,8.0,,46.18,3.34,3.38,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Sultanpur,Moderate,Very High,Very High,Mitigation + GW Sustainability,67.88,163.7,85.7,73.95,70.54,61.67,5655.0,3.02,39.0,60.0,,97.44,0.49,1.79,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Sundargarh,Very High,Very Low,Very Low,Adaptation,28.9,100.9,5.1,34.21,35.03,41.22,1239.0,0.06,41.0,53.0,150.0,91.63,1.08,1.69,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Supaul,Moderate,High,Low,Mitigation,57.06,172.6,71.3,46.62,66.6,32.87,1129.0,1.84,,,67.5,96.65,0.54,1.4,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Surajpur,Moderate,Very Low,Low,No Data,30.46,112.4,10.2,43.86,26.68,66.38,100.0,0.02,100.0,,,80.95,1.26,3.15,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Surat,Moderate,Moderate,High,GW Sustainability,50.47,110.4,76.9,81.89,36.39,39.9,1345.0,0.6,100.0,,60.0,72.56,1.63,1.0,Dakshin Gujarat Vij Company Limited (DGVCL),A+,Yes
Surendranagar,Low,High,High,Mitigation + GW Sustainability,69.85,127.4,52.3,75.37,98.23,47.7,1149.0,0.36,100.0,,60.0,46.35,2.79,1.91,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Surguja,High,Moderate,Low,Adaptation,30.17,113.4,11.1,43.27,29.27,42.58,1106.0,4.59,,,,81.11,1.21,3.05,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Tamenglong,Very High,Very Low,Very Low,Adaptation,100.0,124.9,,36.25,,,27.0,0.02,,,515.0,36.06,2.05,1.2,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Tapi,High,Moderate,Low,Adaptation,48.07,127.7,48.4,75.48,36.44,32.88,1476.0,1.05,100.0,,60.0,66.38,1.96,1.01,Dakshin Gujarat Vij Company Limited (DGVCL),A+,Yes
Tarn Taran,Very Low,Low,Very High,GW Sustainability,89.99,183.5,100.0,66.54,75.91,213.98,735.0,0.19,100.0,,,,3.37,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Tawang,High,Very Low,Very Low,Adaptation,34.79,140.2,,39.97,,,26.0,0.03,100.0,,290.0,95.82,0.96,2.41,,,No data
Tehri Garhwal,High,Low,Low,Adaptation,9.69,144.7,,42.74,0.65,,75.0,2.94,,,285.0,95.09,0.78,4.04,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Thane,High,Low,Low,Adaptation,38.16,110.1,5.4,64.31,75.59,19.07,1278.0,0.17,100.0,,155.0,82.54,1.25,2.04,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Thanjavur,Moderate,High,Very High,Mitigation + GW Sustainability,58.28,151.1,90.3,57.97,18.48,102.85,4564.0,38.69,85.0,7.0,,93.32,0.73,1.33,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
The Dangs,Low,Moderate,Low,No Data,31.73,126.0,32.4,68.85,77.94,10.0,1284.0,1.17,100.0,,60.0,28.24,4.29,1.11,Dakshin Gujarat Vij Company Limited (DGVCL),A+,Yes
The Nilgiris,High,Very Low,Low,Adaptation,28.95,100.1,1.9,53.08,41.81,9.72,98.0,0.02,93.0,7.0,,95.16,0.72,1.8,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Theni,Very Low,High,Very High,Mitigation + GW Sustainability,33.17,104.6,56.9,57.27,82.55,75.94,1361.0,1.19,32.0,60.0,,90.58,0.89,1.26,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Thiruvallur,Low,Moderate,High,GW Sustainability,28.41,157.2,95.9,57.7,63.1,54.89,3758.0,2.34,97.0,1.0,,94.86,0.6,2.79,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Thiruvananthapuram,Very High,Moderate,Low,Adaptation,58.32,123.9,7.8,43.05,20.47,67.73,2649.0,1.01,98.0,1.0,195.0,99.85,0.15,1.11,Kerala State Electricity Board Limited (KSEBL),B-,No
Thiruvarur,Very High,Very High,High,All,73.92,188.0,69.5,54.87,10.73,66.07,6524.0,7.34,93.0,3.0,,88.57,0.99,1.82,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Thoothukkudi,Very High,Moderate,High,Adaptation + GW Sustainability,46.48,100.4,17.2,71.48,45.48,38.88,1278.0,279.47,96.0,4.0,,82.87,1.28,2.03,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Thoubal,Very High,Low,Very Low,Adaptation,100.0,176.3,10.9,38.52,,9.84,372.0,0.18,,,515.0,86.46,1.02,1.18,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Thrissur,Moderate,Low,Moderate,No Data,44.0,128.6,43.9,38.84,58.53,60.94,5023.0,1.03,93.0,6.0,195.0,99.61,0.17,1.32,Kerala State Electricity Board Limited (KSEBL),B-,No
Tikamgarh,Very Low,Moderate,Very High,GW Sustainability,62.26,147.1,41.8,73.51,73.1,81.83,1627.0,0.85,100.0,,135.0,78.78,1.62,3.11,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Tinsukia,Very High,Very Low,Very Low,Adaptation,34.49,110.5,0.5,21.61,19.64,5.14,5146.0,0.15,2.0,97.0,465.0,82.35,1.22,1.9,Assam Power Distribution Company Limited (APDCL),B-,No
Tirap,Moderate,Very Low,Very Low,No Data,25.97,128.0,12.8,18.76,1.8,0.9,17.0,,,,290.0,63.63,10.53,1.99,,,No data
Tiruchirappalli,High,Moderate,Very High,Adaptation + GW Sustainability,36.37,107.8,46.3,66.74,58.7,73.94,2875.0,11.37,87.0,5.0,,93.64,0.68,2.26,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Tirunelveli,High,Moderate,Moderate,Adaptation,18.37,104.6,63.7,59.91,40.37,43.68,2979.0,87.07,96.0,4.0,,93.94,0.59,1.3,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Tiruppur,Very Low,Very Low,High,GW Sustainability,36.62,101.0,61.8,58.61,59.99,87.01,776.0,0.12,96.0,4.0,,71.77,1.69,2.21,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Tiruvannamalai,Low,High,Very High,Mitigation + GW Sustainability,38.65,150.9,80.6,58.79,76.01,80.19,5021.0,52.74,97.0,3.0,,95.39,0.68,2.29,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Tonk,Moderate,High,Very High,Mitigation + GW Sustainability,66.06,156.9,43.0,63.05,87.33,101.98,1934.0,9.03,98.0,2.0,167.0,61.92,2.45,3.27,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Tuensang,Moderate,Very Low,Very Low,No Data,23.68,130.1,13.7,27.02,0.04,3.73,39.0,0.01,,,320.0,9.65,5.33,2.06,,,No data
Tumkur,Low,Low,High,GW Sustainability,54.49,116.0,31.5,58.88,76.84,91.77,3109.0,0.87,100.0,,,82.36,1.24,1.34,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Udaipur,Moderate,Moderate,Very High,GW Sustainability,17.41,143.2,28.9,77.41,89.24,102.41,775.0,3.29,81.0,16.0,167.0,84.4,1.19,5.59,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Udalguri,Very High,Very Low,Very Low,Adaptation,57.61,136.0,11.1,33.56,40.86,12.06,5621.0,0.41,33.0,67.0,465.0,88.13,0.85,1.94,Assam Power Distribution Company Limited (APDCL),B-,No
Udham Singh Nagar,Very Low,Very High,High,Mitigation + GW Sustainability,47.92,191.9,98.7,63.29,82.09,57.53,897.0,1.51,,,285.0,79.25,1.46,2.37,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Udhampur,Moderate,Low,Very Low,No Data,15.15,193.9,14.1,26.7,2.72,23.95,896.0,0.03,,,235.0,89.32,0.84,2.8,,,No data
Udupi,Moderate,Low,Moderate,No Data,30.7,110.7,29.6,51.58,70.97,33.75,618.0,1.81,100.0,,,92.22,0.78,1.37,Mangalore Electricity Supply Company Limited (MESCOM),A,Yes
Ujjain,Very Low,High,Very High,Mitigation + GW Sustainability,83.97,190.3,44.8,71.13,80.64,108.83,1711.0,0.72,62.0,38.0,135.0,68.68,2.01,3.01,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Ukhrul,Very High,Very Low,Very Low,Adaptation,100.0,159.5,,35.59,0.11,,82.0,,,,515.0,85.44,1.14,1.01,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
